SR Legacy                                 ,FNDDS                                   ,Zameret             ,AUSNUT                          ,MEXT                                                               ,Baharain,FoundationFoods
"Sugars, Total                           ","Sugars, total (g)                     ",total_sugars        ,sugarstotal_g                   ,"Carbohydrate, available; expressed in mono-saccharide equivalents",,"Sugars, Total"
"Fatty acids, total trans                ",,trans_fatty_acids   ,totaltransfattyacids_g          ,,,"Fatty acids, total trans"
Tryptophan                                ,,tryptophan          ,tryptophan_g                    ,,,Tryptophan
Tyrosine                                  ,,tyrosine            ,,,,Tyrosine
Valine                                    ,,valine              ,,,,Valine
"Vitamin A, IU                           ",,vitamin_a_iu        ,,,,
"Vitamin A, RAE                          ","Vitamin A, RAE (µg_RAE)               ",vitamin_a_re        ,raevitamina_ug                  ,Retinol activityequivalents                                        ,,"Vitamin A, RAE"
Vitamin B-12                              ,Vitamin B-12 (µg)                       ,vitamin_b12         ,vitaminb12_ug                   ,Vitamin B-12                                                       ,,Vitamin B-12
Vitamin B-6                               ,Vitamin B-6 (mg)                        ,vitamin_b6          ,vitaminb6_mg                    ,Vitamin B-6                                                        ,,Vitamin B-6
"Vitamin C, total ascorbic acid          ",Vitamin C (mg)                          ,vitamin_c           ,vitaminc_mg                     ,Ascorbic acid                                                      ,,"Vitamin C, total ascorbic acid"
Vitamin D (D2 + D3)                       ,Vitamin D (D2 + D3) (µg)                ,vitamin_d           ,,Vitamin D                                                          ,,Vitamin D (D2 + D3)
Vitamin E (alpha-tocopherol)              ,Vitamin E (alpha-tocopherol) (mg)       ,vitamin_e           ,vitamine_mg                     ,alpha-Tocopherol                                                   ,,Vitamin E (alpha-tocopherol)
Vitamin K (phylloquinone)                 ,Vitamin K (phylloquinone) (µg)          ,vitamin_k           ,,Vitamin K                                                          ,,Vitamin K (phylloquinone)
"Zinc, Zn                                ",Zinc (mg)                               ,zinc                ,zinc_mg                         ,Zinc                                                               ,,"Zinc, Zn"
,,,,Acetic acid                                                        ,,
"Carotene, alpha                         ","Carotene, alpha (mcg)                 ",,,alpha-Carotene                                                     ,,"Carotene, alpha"
Ash                                       ,,,ash_g                           ,Ash                                                                ,,Ash
